Bytes : Throughput  
1024 : 12.6826298701 
2048 : 14.0008960573 
3072 : 19.0859120521 
4096 : 29.5928030303 
5120 : 28.3884447674 
6144 : 36.8514150943 
7168 : 44.8258196721 
8192 : 47.063253012 
9216 : 57.2577361564 
10240 : 60.8450155763 
11264 : 69.9816775244 
12288 : 72.5619195046 
13312 : 89.4036091549 
14336 : 85.1830218069 
15360 : 108.506944444 
16384 : 101.791530945 
17408 : 106.080271565 
18432 : 103.097507331 
19456 : 125.794491525 
20480 : 114.552785924 
21504 : 130.208333333 
22528 : 136.843152866 
23552 : 147.769325658 
24576 : 136.264534884 
25600 : 77.7517914013 
26624 : 77.6471712538 
27648 : 344.669117647 
28672 : 122.893258427 
29696 : 167.081489676 
30720 : 1126.80288462 
31744 : 91.0479323308 
32768 : 92.867756315 
