Bytes : Throughput 
1024 : 5.38050964187 
2048 : 8.75840807175 
3072 : 11.9335539715 
4096 : 14.1274864376 
5120 : 16.1148927393 
6144 : 18.7200479233 
7168 : 18.2048934754 
8192 : 17.5561797753 
9216 : 29.6927787162 
10240 : 25.4644719687 
11264 : 20.1731220657 
12288 : 22.2578347578 
13312 : 24.2045996187 
14336 : 25.8203493862 
15360 : 26.8532309808 
16384 : 28.3318223028 
17408 : 30.1298774955 
18432 : 32.3722375691 
19456 : 30.0724270665 
20480 : 37.4161877395 
21504 : 44.5337947883 
22528 : 38.7804602888 
23552 : 38.4276090676 
24576 : 48.4245867769 
25600 : 52.6165140086 
26624 : 52.2440843621 
27648 : 43.6181761787 
28672 : 42.5252721617 
29696 : 40.8957581227 
30720 : 45.7763671875 
31744 : 42.6987834979 
32768 : 54.347826087 
